Nr;Titel;Original Titel;Platte;Pfad;Hinzugefügt;Gesehen;Jahr;FSK;Dauer;Auflösung;Größe in MB;Land;IMDB Wertung;IMDB Anzahl;Tomatometer;Metascore;Genres;Kommentar;Oscar gewonnen;Oscar nominiert;GoldenGlobe;BAFTA
2836;"Infernal Affairs 1";"";[HD Eastern+Western];X:\HD-Eastern-Collections\Infernal Affairs\Infernal Affairs 1 (2002, FSK12, 1912x832).mkv;22.12.2015;;2002;12;100;1080p;8192;"Hong-Kong";8,1;109282;0;75;"Thriller Krimi Mystery ";"";0;0;0;0
2837;"Infernal Affairs 2 - Abstieg in die achte Hölle";"";[HD Eastern+Western];X:\HD-Eastern-Collections\Infernal Affairs\Infernal Affairs 2 - Abstieg in die achte Hölle (2003, FSK16, 1920x792).mkv;22.12.2015;;2003;16;119;1080p;7342;"Hong-Kong";7,4;15162;0;0;"Action Thriller Drama Krimi ";"";0;0;0;0
2838;"Infernal Affairs 3";"";[HD Eastern+Western];X:\HD-Eastern-Collections\Infernal Affairs\Infernal Affairs 3 (2003, FSK16, 1920x800).mkv;22.12.2015;;2003;16;117;1080p;7475;"Hong-Kong";7,0;11165;0;0;"Action Thriller Drama Krimi ";"";0;0;0;0
11570;"Inferno";"Hell and High Water (Englischer Titel)";[Gemischt-01+Anime];X:\1950-1959\Inferno (1954, FSK12, 1920x752).mkv;30.07.2019;;1954;12;103;1080p;8140;"USA";6,2;1382;97;0;"Action Thriller Drama Abenteuer ";"";0;01;01;0
5366;"Inferno";"";[HD Collection-3(N-Z)-6(A-Z)];X:\3-Trilogie(N-Z)\Robert Langdon\Inferno (2016, FSK12, 1920x1040).mkv;19.01.2017;13.02.2017;2016;12;121;1080p;9932;"USA";6,2;65353;23;0;"Action Thriller Drama Abenteuer Krimi Mystery ";"";0;0;0;0
10468;"Infidus - Es ist nur ein Film";"Infidus (Englischer Titel)";[FSK18];X:\FSK18-2015\Infidus - Es ist nur ein Film (2015, FSK18, 1920x1080).mkv;11.01.2019;;2015;18;75;1080p;5089;"Italien";5,9;458;0;0;"Horror Drama Krimi ";"";0;0;0;0
5428;"Infiltrator, The";"";[HD 2016(A-Z)];X:\2016(G-M)\Infiltrator, The (2016, FSK, 1920x808).mkv;30.01.2017;17.04.2017;2016;;127;1080p;9041;"England";7,1;35263;0;0;"Thriller Drama Krimi Biographie ";"";0;0;0;0
2242;"Infini";"";[HD 2015(A-Z)];X:\2015(G-M)\Infini (2015, FSK16, 1920x720).mkv;22.10.2015;;2015;16;110;1080p;6451;"Australien";5,4;12857;0;0;"Horror Sci-Fi Thriller ";"";0;0;0;0
3007;"Infinitely Polar Bear";"";[HD 2013(I-Z)-2014(A-Z)];X:\2014(G-M)\Infinitely Polar Bear (2014, FSK6, 1920x1040).mkv;19.01.2016;;2014;6;88;1080p;10649;"USA";7,0;13477;0;64;"Drama Komödie ";"";0;0;0;0
2233;"Informant!, Der";"The Informant!";[HD 2009(G-Z)-2010(A-F)];X:\2009(G-M)\Informant!, Der (2009, FSK12, 1920x1080).mkv;22.10.2015;;2009;12;108;1080p;2928;"USA";6,5;58489;0;66;"Komödie Krimi Drama Thriller ";"";0;0;0;0
7775;"Informers";"";[HD 2008(G-Z)-2009(A-F)];X:\2008(G-M)\Informers (2008, FSK16, 1920x800).mkv;15.12.2017;;2008;16;97;1080p;6574;"Deutschland";5,0;14851;0;0;"Thriller Drama Krimi ";"";0;0;0;0
